title,breed,name,reason to be rescued,rescued by,special person,meaning of name,lived for,died of,family type
The Goodbye Cat,Silver tabby,Kota Sakuraba,abandoned twenty years ago during the rainy season as a kitten,Mr. Sakuraba Kazumasa,Mrs. Akemi Sakuraba  ,"intended name of second son, Hiromi.",23,natural causes (old age),husband and wife with two sons
The Goodbye Cat,Persian ,Diana  Sakuraba,pet shop was going to rid of her due to an abnormality in her iris ,Mr. Sakuraba Kazumasa,Hiromi Sakuraba,a character in Anne of the Green Gables -- a book that Akemi favours.,16,"natural causes (age-related weakness, blindness)",husband and wife with two sons
Bringing up Baby,Orange tabby,Spin Tsukuda,"three weeks before the start of the story, as a kitten that was thrown in a rubbish recycling point along with its deceased sibling.",Keisuke Tsukuda,Shiori Tsukuda,Cat played with a bookmark (shiori) by making it spin.,N/A,N/A,husband and wife with infant daughter
Good Father / Bad Father,Pale brown with tiger stripes,Tora,"Not rescued, but procured under Free Giveaways in a newspaper.",Unclear. ,Mom,Japanese word for tiger.,18,old age (died in Mom's hands wearing diapers),husband and wife with kids
Good Father / Bad Father,Light tortoise shell with patches of cream,Ten,Found as a kitten in a grove beside a road.,Dad,Dad,Japanese word for heaven or sky.,N/A,N/A,husband and wife with kids
Cat Island,Black tabby with a white eye that is clouded over.,N/A,A cat was found floundering in the waves.,Dad / Mr. Sakamoto and Haruko Sakamoto,N/A,N/A,N/A,N/A,husband and stepmother with a son
The Night Visitor,Cat with black eyes.,Tom,N/A,N/A,Narrator,N/A,N/A,N/A,Narrator.
Finding Hachi / The Travelling Cat Chronicles,White dawny fur with a black hooked tail.,Hachi,Rescued as a kitten when left abandoned in a box. Later adopted by the former owner's family after an accident that killed his parents.,Two boys called Satoru and Kosuke.,Satoru and Tsutomu (later owner),"A marking on the cat's forehead that looks like the Japanese word for eight, but also a signifier of good fortune, as eight is a lucky number. ",4 to 5 years based on Satoru's age.,Hit by a car.,"Husband and wife with a son. Later, husband and wife with a girl and two boys."
Life Is Not Always Kind / The Travelling Cat Chronicles,White tabby cat with spots of colour on face and a bent tail.,Nana,Rescued by Satoru after an injury (got hit by a car),Satoru.,Satoru,Hooked tail that looks like the Japanese number seven from above.,N/A,N/A,Single man.
The Unsentimental Farmer / The Travelling Cat Chronicles,Orange tabby kitten.,Chatran,Rescued by Daigo who found him lying on the road.,Daigo Yoishimine,Daigo Yoishimine,Based on a film called The Adventures of Chatran (who is a red tabby),N/A,N/A,Single man.
Sugi and Chikakoâ€™s Hotel for Pets / The Travelling Cat Chronicles,Brown tabby cat,Momo,N/A,N/A,Chikako,"Named peach, which is the fruit that the couple owning a B&B grow on their orchard.",At least 15 years.,Natural causes.,Husband and wife.
 Not The End of the Road (Epilogue) / The Travelling Cat Chronicles,Dressed-up mackerel tabby,N/A,N/A,N/A,Kosuke,N/A,N/A,N/A,Husband and wife.
Not The End of the Road (Epilogue) / The Travelling Cat Chronicles,Calico kitten.,Calico,"Found by Noriko, abadoned, under an apartment building.",Noriko,Noriko,Named after her looks.,N/A,N/A,Single woman.