Location ,Destination,Who,Why,Cultural Item,Sights ,Title of Chapter
Tokyo,Unnamed town close to Kokura,Satoru Miyawaki and Nana with their silver van.,To visit Kosuke (a childhood friend) who should adopt Nana,N/A,N/A,The Husband without a Wife
Unnamed town,Kyoto,Satoru Miyawaki ,A school trip.,maneki-neko,"Kinkakuji, the Temple of the Golden Pavilion",The Husband without a Wife
Unnamed town,Tokyo,Satoru Miyawaki and Nana with their silver van.,Returning to Tokyo because the adoption did not go through.,,,The Husband without a Wife
Tokyo,A farming village,Satoru Miyawaki and Nana with their silver van.,To try and see if a man called Daigo Yoshihime would like to adopt Nana.,,Green sea. ,The Unsentimental Farmer
A farming village,Tokyo,Satoru Miyawaki and Nana with their silver van.,Returning to Tokyo because the adoption did not go through.,,Green sea. ,The Unsentimental Farmer
Tokyo,A B & B with a view of Mount Fuji,Satoru Miyawaki and Nana with their silver van.,To try and see if the couple owning the B&B would like to adopt Nana.,,Mount Fuji,Sugi and Chikako’s Hotel for Pets
A B & B with a view of Mount Fuji,Tokyo,Satoru Miyawaki and Nana with their silver van.,Returning to Tokyo because the adoption did not go through.,,Mount Fuji,Sugi and Chikako’s Hotel for Pets
Tokyo,Hokkaido,Satoru Miyawaki and Nana in a ferry.,To visit the grave of Satoru's parents.,Korobokkuru,A field that looks like a sea.,Between Friends
Hokkaido,Sapporo,Satoru Miyawaki and Nana with their silver van.,To visit Satoru's aunt.,,A family of deer and a rainbow.,Between Friends
Hokkaido,Sapporo,Satoru Miyawaki and Nana with their silver van.,To visit Satoru's aunt.,ozoni,,How Noriko Learned To Love